fecha,valor,completo_mediciones,completo_umbral
2020/01/01,3.90,100.0,100.0
2020/01/02,0.20,100.0,100.0
2020/01/03,0.70,100.0,100.0
2020/01/04,0.00,100.0,100.0
2020/01/05,0.00,100.0,100.0
2020/01/06,1.10,100.0,100.0
2020/01/07,0.10,100.0,100.0
2020/01/08,0.00,100.0,100.0
2020/01/09,0.00,100.0,100.0
2020/01/10,0.00,100.0,100.0
2020/01/11,0.50,100.0,100.0
2020/01/12,1.00,100.0,100.0
2020/01/13,1.70,100.0,100.0
2020/01/14,0.00,100.0,100.0
2020/01/15,0.00,100.0,100.0
2020/01/16,0.00,100.0,100.0
2020/01/17,4.30,100.0,100.0
2020/01/18,2.40,100.0,100.0
2020/01/19,1.50,100.0,100.0
2020/01/20,3.20,100.0,100.0
2020/01/21,35.70,100.0,100.0
2020/01/22,0.00,100.0,100.0
2020/01/23,0.60,99.7,100.0
2020/01/24,17.20,100.0,100.0
2020/01/25,5.50,100.0,100.0
2020/01/26,1.60,100.0,100.0
2020/01/27,1.30,100.0,100.0
2020/01/28,0.00,100.0,100.0
2020/01/29,0.00,100.0,100.0
2020/01/30,0.10,100.0,100.0
2020/01/31,0.00,100.0,100.0
2020/02/01,4.90,100.0,100.0
2020/02/02,0.30,100.0,100.0
2020/02/03,0.00,100.0,100.0
2020/02/04,0.00,100.0,100.0
2020/02/05,0.00,100.0,100.0
2020/02/06,0.00,100.0,100.0
2020/02/07,0.00,100.0,100.0
2020/02/08,3.80,100.0,100.0
2020/02/09,0.10,100.0,100.0
2020/02/10,0.00,100.0,100.0
2020/02/11,0.00,100.0,100.0
2020/02/12,0.00,100.0,100.0
2020/02/13,0.00,100.0,100.0
2020/02/14,0.00,100.0,100.0
2020/02/15,0.00,100.0,100.0
2020/02/16,0.00,100.0,100.0
2020/02/17,1.10,100.0,100.0
2020/02/18,1.10,100.0,100.0
2020/02/19,0.80,100.0,100.0
2020/02/20,0.20,100.0,100.0
2020/02/21,4.80,100.0,100.0
2020/02/22,10.40,100.0,100.0
2020/02/23,0.00,100.0,100.0
2020/02/24,13.40,100.0,100.0
2020/02/25,0.50,100.0,100.0
2020/02/26,6.80,100.0,100.0
2020/02/27,8.30,100.0,100.0
2020/02/28,7.20,100.0,100.0
2020/02/29,0.00,100.0,100.0
2020/03/01,0.80,100.0,100.0
2020/03/02,0.00,100.0,100.0
2020/03/03,1.10,100.0,100.0
2020/03/04,0.80,100.0,100.0
2020/03/05,2.60,100.0,100.0
2020/03/06,0.30,100.0,100.0
2020/03/07,1.40,100.0,100.0
2020/03/08,0.60,100.0,100.0
2020/03/09,0.00,100.0,100.0
2020/03/10,0.00,100.0,100.0
2020/03/11,0.00,100.0,100.0
2020/03/12,0.00,100.0,100.0
2020/03/13,0.20,100.0,100.0
2020/03/14,0.20,100.0,100.0
2020/03/15,0.00,100.0,100.0
2020/03/16,0.10,100.0,100.0
2020/03/17,4.90,100.0,100.0
2020/03/18,0.00,100.0,100.0
2020/03/19,0.00,100.0,100.0
2020/03/20,0.00,100.0,100.0
2020/03/21,0.00,100.0,100.0
2020/03/22,0.00,100.0,100.0
2020/03/23,0.00,100.0,100.0
2020/03/24,0.00,100.0,100.0
2020/03/25,0.00,100.0,100.0
2020/03/26,0.00,100.0,100.0
2020/03/27,0.00,100.0,100.0
2020/03/28,1.50,100.0,100.0
2020/03/29,0.10,100.0,100.0
2020/03/30,10.50,100.0,100.0
2020/03/31,6.60,100.0,100.0
2020/04/01,3.80,100.0,100.0
2020/04/02,2.10,100.0,100.0
2020/04/03,1.50,100.0,100.0
2020/04/04,0.00,100.0,100.0
2020/04/05,0.00,100.0,100.0
2020/04/06,6.40,100.0,100.0
2020/04/07,4.20,100.0,100.0
2020/04/08,0.20,100.0,100.0
2020/04/09,1.50,100.0,100.0
2020/04/10,0.00,100.0,100.0
2020/04/11,3.20,100.0,100.0
2020/04/12,0.00,100.0,100.0
2020/04/13,0.00,100.0,100.0
2020/04/14,2.00,100.0,100.0
2020/04/15,22.20,100.0,100.0
2020/04/16,1.30,100.0,100.0
2020/04/17,0.00,100.0,100.0
2020/04/18,0.30,100.0,100.0
2020/04/19,0.50,100.0,100.0
2020/04/20,0.00,100.0,100.0
2020/04/21,0.00,100.0,100.0
